id,key,value,type
25477656,source,Bing,regular
25477656,highway,traffic_signals,regular
26046289,barrier,bollard,regular
26270974,highway,traffic_signals,regular
26577982,highway,traffic_signals,regular
26577982,traffic_signals,signal,regular
26951674,button_operated,yes,regular
26951674,crossing,traffic_signals,regular
26951674,highway,crossing,regular
26951674,traffic_signals,blink_mode,regular
27519441,highway,traffic_signals,regular
29699025,highway,traffic_signals,regular
29699025,direction,backward,traffic_signals
29823370,source,survey,regular
29823370,highway,traffic_signals,regular
29937381,highway,turning_circle,regular
30453175,highway,traffic_signals,regular
30453175,crossing,traffic_signals,regular
31312145,highway,mini_roundabout,regular
38891259,except,bicycle,regular
38891259,highway,traffic_signals,regular
39588009,source,PGS,regular
39588009,created_by,JOSM,regular
39592331,source,PGS,regular
39593774,source,PGS,regular
39596412,source,PGS,regular
39596412,created_by,JOSM,regular
39598129,source,PGS,regular
39599304,source,PGS,regular
39604733,source,PGS,regular
39604733,created_by,JOSM,regular
39605823,source,PGS,regular
39605823,created_by,JOSM,regular
39609897,source,PGS,regular
39610645,source,PGS,regular
39614046,source,PGS,regular
39614493,source,PGS,regular
39621440,source,PGS,regular
39622347,source,PGS,regular
39630219,source,PGS,regular
39630219,created_by,JOSM,regular
52931879,highway,traffic_signals,regular
52936775,highway,traffic_signals,regular
52938501,highway,traffic_signals,regular
127496583,highway,traffic_signals,regular
127533189,highway,turning_circle,regular
164087409,except,bus,regular
164087409,highway,traffic_signals,regular
243953064,highway,traffic_signals,regular
244085772,highway,turning_circle,regular
245669206,created_by,JOSM,regular
245671675,highway,traffic_signals,regular
245671873,is_in,"Vancouver, BC",regular
247105687,is_in,"Vancouver, BC",regular
247688575,junction,roundabout,regular
249404611,highway,traffic_signals,regular
249412680,name,Fraserview Boys and Girls Club,regular
249412680,is_in,"Vancouver, BC",regular
249412680,leisure,sports_centre,regular
250760604,highway,traffic_signals,regular
250760604,traffic_signals,signal,regular
250760625,highway,traffic_signals,regular
250760625,traffic_signals,signal,regular
251627679,highway,traffic_signals,regular
251649174,highway,traffic_signals,regular
251649174,traffic_signals,signal,regular
251650601,highway,traffic_signals,regular
253491085,highway,traffic_signals,regular
253491085,crossing,traffic_signals,regular
253907304,created_by,JOSM,regular
254499752,highway,mini_roundabout,regular
