id,user,uid,version,changeset,timestamp
4231652,keithonearth,154287,21,41078623,2016-07-28T06:44:38Z
4489462,fmarier,24555,43,51386611,2017-08-23T19:46:28Z
4520111,DustinDauncey,1355239,6,20095330,2014-01-19T23:21:46Z
4645563,fmarier,24555,31,48548822,2017-05-10T03:04:28Z
4681261,keithonearth,154287,8,28734980,2015-02-09T19:08:09Z
4691891,Meliora Cogito,2776568,15,29983413,2015-04-05T00:08:25Z
4691914,dfuzzy23,6685198,12,52217202,2017-09-20T16:58:02Z
4704934,fmarier,24555,6,48548822,2017-05-10T04:05:27Z
4775740,MelioraCogito,2826511,13,30447083,2015-04-24T07:12:01Z
4935053,alester,307202,13,14022317,2012-11-25T01:18:46Z
5403291,lokejul,2034065,10,52579003,2017-10-02T21:09:42Z
5455076,jptolosa87,1975220,21,38417357,2016-04-08T21:43:17Z
6163334,pathym,689176,16,23280628,2014-06-29T18:39:53Z
6628522,lorandr_telenav,4973384,33,46128200,2017-02-16T08:07:13Z
6634413,petrar_telenav,4940486,7,45969676,2017-02-10T10:29:18Z
7947609,Koinonen,2383651,7,25950616,2014-10-08T22:34:22Z
8165665,MelioraCogito,2826511,11,30447083,2015-04-24T07:11:45Z
8562029,keithonearth,154287,55,51700423,2017-09-03T19:04:35Z
8562064,keithonearth,154287,27,52969602,2017-10-16T01:08:42Z
10905034,tomek11,58434,23,50256651,2017-07-13T12:12:20Z
13743808,Adam Dunn,5306,3,3208582,2009-11-24T22:49:10Z
13751258,binhex,3055,1,586616,2007-11-21T08:55:02Z
13751931,vcelier,87732,2,631675,2009-02-23T10:21:10Z
16261588,Fancy Pants,6552218,6,51868210,2017-09-09T02:32:04Z
22748109,pathym,689176,6,32128904,2015-06-22T01:27:13Z
22748121,WBSKI,14351,10,8409468,2011-06-11T20:08:38Z
22748134,keithonearth,154287,16,29082400,2015-02-25T00:25:02Z
22748145,Spacecookies,1884805,7,29057611,2015-02-24T00:43:37Z
22797667,keithonearth,154287,5,49954059,2017-06-30T21:06:55Z
22824162,mbiker,431056,16,8027277,2011-05-02T01:07:59Z
22871104,WBSKI,14351,16,11465656,2012-05-01T00:51:06Z
22940085,Adam Dunn,5306,6,3208980,2009-11-25T00:20:02Z
22977251,Adam Dunn,5306,4,3267756,2009-12-01T21:36:23Z
22977266,keithonearth,154287,5,44291242,2016-12-09T20:20:07Z
22977279,lokejul,2034065,22,52401956,2017-09-27T03:27:37Z
23102297,inah_telenav,5188736,5,49188596,2017-06-02T08:32:47Z
23102308,keithonearth,154287,7,32104618,2015-06-20T20:36:52Z
23102375,keithonearth,154287,6,30008240,2015-04-06T07:23:24Z
23121972,MelioraCogito,2826511,23,30447083,2015-04-24T07:11:57Z
23188859,Zarr,6670496,21,52313148,2017-09-23T23:11:49Z
23189667,Paul Johnson,92286,5,12050848,2012-06-28T20:52:19Z
23198163,eone,503905,16,29919074,2015-04-02T02:48:10Z
23198535,pnorman,355617,5,7281123,2011-02-13T21:57:08Z
23225475,MetVanRider123acme,2800822,7,41003648,2016-07-25T06:28:47Z
