id,key,value,type
4231652,hgv,no,regular
4231652,name,South Grandview Highway,regular
4231652,is_in,"Vancouver, BC",regular
4231652,oneway,no,regular
4231652,highway,secondary,regular
4231652,maxspeed,50,regular
4489462,cycleway,shared,regular
4489462,highway,residential,regular
4489462,maxspeed,30,regular
4489462,name,West 10th Avenue,regular
4489462,surface,asphalt,regular
4489462,traffic_calming,yes,regular
4489462,type,minor,regular
4520111,name,Wesbrook Crescent,regular
4520111,highway,residential,regular
4645563,ref,99A;1A,regular
4645563,name,Dunsmuir Street,regular
4645563,oneway,yes,regular
4645563,highway,primary,regular
4645563,surface,asphalt,regular
4645563,maxspeed,50,regular
4681261,name,East 6th Avenue,regular
4681261,is_in,"Vancouver, BC",regular
4681261,bicycle,yes,regular
4681261,highway,residential,regular
4681261,cycleway,shared,regular
4691891,name,Bayswater Street,regular
4691891,lanes,2,regular
4691891,highway,residential,regular
4691914,cycleway,lane,regular
4691914,highway,residential,regular
4691914,name,West 1st Avenue,regular
4691914,oneway,yes,regular
4704934,name,McNicoll Avenue,regular
4704934,highway,residential,regular
4704934,surface,asphalt,regular
4775740,name,West 2nd Avenue,regular
4775740,highway,residential,regular
4935053,name,West 4th Street,regular
4935053,highway,residential,regular
4935053,cycleway,shared,regular
5403291,highway,residential,regular
5403291,name,National Avenue,regular
5403291,oneway,yes,regular
5403291,surface,asphalt,regular
5455076,source,Bing,regular
5455076,natural,coastline,regular
6163334,name,Alberta Street,regular
6163334,lanes,2,regular
6163334,source,NRCan-CanVec-8.0,regular
6163334,highway,residential,regular
6163334,surface,paved,regular
6628522,name,Crown Street,regular
6628522,highway,residential,regular
6634413,name,West 22nd Avenue,regular
6634413,highway,residential,regular
7947609,highway,unclassified,regular
8165665,name,Courtenay Street,regular
8165665,highway,residential,regular
8562029,cycleway,shared,regular
8562029,highway,residential,regular
8562029,is_in,"Vancouver, BC",regular
8562029,name,Angus Drive,regular
8562064,highway,residential,regular
8562064,is_in,"Vancouver, British Columbia",regular
8562064,name,Pine Crescent,regular
10905034,highway,secondary,regular
10905034,maxspeed,50,regular
10905034,name,Pacific Street,regular
10905034,oneway,no,regular
10905034,surface,asphalt,regular
13743808,name,East 19th Avenue,regular
13743808,is_in,"Vancouver, BC",regular
13743808,highway,residential,regular
13751258,name,Staulo Crescent,regular
13751258,highway,residential,regular
13751258,created_by,Potlatch 0.5b,regular
13751931,name,West 49th Avenue,regular
13751931,highway,residential,regular
13751931,created_by,Potlatch 0.10f,regular
16261588,aeroway,runway,regular
16261588,length,"3,030",regular
16261588,ref,08L/26R,regular
16261588,surface,concrete,regular
22748109,is_in,"Vancouver, BC",regular
22748109,highway,service,regular
22748109,surface,paved,regular
22748109,maxspeed,25,regular
22748121,name,East 8th Avenue,regular
22748121,is_in,"Vancouver, BC",regular
22748121,highway,residential,regular
22748121,cycleway,shared,regular
22748134,name,East 28th Avenue,regular
22748134,is_in,"Vancouver, BC",regular
22748134,highway,residential,regular
22748145,name,East 32nd Avenue,regular
22748145,is_in,"Vancouver, BC",regular
22748145,highway,residential,regular
22797667,bicycle,yes,regular
22797667,highway,footway,regular
22824162,highway,service,regular
22871104,name,Homer Street,regular
22871104,highway,residential,regular
22871104,cycleway,shared,regular
22940085,name,Saint George Street,regular
22940085,is_in,"Vancouver, BC",regular
